user_id,book_id,rating,timestamp,review_length_chars,liked
U054,1418,4,2023-02-17,64,True
U064,526,5,2022-12-01,2,True
U041,310,4,2024-12-05,40,True
U004,1015,4,2020-10-14,99,True
U028,1015,4,2022-08-31,223,True
U024,1665,3,2023-03-27,61,True
U045,1377,2,2025-01-06,16,False
U019,1228,5,2025-05-09,112,True
U054,1967,3,2021-09-15,49,False
U043,176,4,2025-06-13,214,True
U015,111,4,2023-10-04,82,True
U099,1993,4,2019-05-22,80,True
U029,250,4,2021-10-18,37,True
U019,1171,4,2025-10-15,267,True
U069,71,3,2025-08-18,4,False
U099,5,3,2021-01-07,32,True
U007,786,4,2025-07-22,37,True
U005,570,4,2023-12-19,51,True
U095,1481,3,2022-03-09,1,False
U097,951,4,2025-10-22,74,True
U041,49,2,2021-12-10,14,False
U044,643,4,2025-08-22,64,True
U043,283,5,2025-07-17,7,True
U047,10,4,2019-01-27,35,True
U097,327,3,2025-07-28,24,False
U035,1163,4,2021-09-17,42,True
U057,1939,4,2022-11-24,50,True
U040,179,5,2020-04-05,11,True
U004,951,5,2022-01-08,124,True
U091,829,4,2024-11-29,121,True
U055,1888,5,2025-08-18,17,True
U087,610,2,2024-11-01,129,False
U057,1434,4,2024-06-21,52,True
U064,1161,5,2022-12-07,95,True
U069,492,3,2025-10-09,71,False
U082,322,4,2025-01-28,107,True
U023,375,4,2023-01-29,7,True
U034,1009,4,2024-09-10,14,True
U079,1200,4,2019-12-02,78,True
U064,659,3,2025-01-05,23,False
U090,54,5,2025-10-18,150,True
U053,1813,3,2018-04-18,49,True
U058,1327,3,2020-04-15,15,False
U033,1235,3,2019-06-25,99,False
U028,186,4,2023-11-09,1,True
U099,1313,3,2025-06-13,110,False
U029,5,4,2022-03-03,3,True
U048,259,5,2021-08-29,36,True
U099,655,5,2024-04-15,5,True
U087,878,4,2023-08-25,65,True
U048,1554,4,2020-01-12,18,True
U077,403,4,2021-09-25,4,True
U057,1844,2,2024-03-17,36,False
U081,616,5,2022-07-28,7,True
U054,853,3,2024-03-07,91,False
U069,351,3,2022-01-17,7,False
U051,1129,5,2022-12-11,101,True
U069,1914,3,2025-06-01,9,False
U075,597,3,2025-06-03,8,False
U045,327,4,2025-09-30,41,True
U072,485,5,2024-08-18,6,True
U070,448,4,2024-02-28,41,True
U045,1603,3,2025-06-28,64,False
U061,1385,4,2025-10-13,62,True
U047,796,2,2024-09-27,42,False
U008,1064,4,2023-08-29,52,True
U036,645,3,2023-04-30,73,False
U094,205,5,2025-09-28,230,True
U082,162,4,2024-11-15,214,True
U050,439,3,2024-05-05,42,False
U087,1601,4,2024-10-24,11,True
U080,221,4,2024-09-06,54,True
U040,1163,5,2020-12-14,35,True
U036,21,5,2023-04-29,49,True
U008,351,3,2023-10-02,17,False
U004,904,5,2025-04-27,88,True
U001,1345,4,2024-03-20,25,True
U036,1843,5,2022-01-15,18,True
U090,1978,5,2025-10-21,46,True
U035,205,5,2019-04-26,188,True
U093,1481,2,2024-09-11,40,False
U090,795,4,2025-10-21,10,True
U023,437,4,2019-11-16,103,True
U091,655,5,2024-10-24,60,True
U044,1841,3,2025-06-15,48,False
U079,1411,4,2023-06-17,79,True
U051,1394,4,2023-05-18,16,True
U051,516,2,2024-03-23,25,False
U080,1435,3,2023-06-14,67,False
U016,685,5,2024-11-09,123,True
U007,351,3,2025-10-02,56,True
U093,1471,5,2021-05-14,92,True
U069,1887,2,2025-05-27,26,False
U088,1879,3,2021-10-28,48,False
U061,1020,5,2025-10-20,74,True
U050,175,5,2024-02-19,64,True
U091,1184,4,2024-07-10,1,True
U064,10,4,2025-02-21,109,True
U051,950,4,2024-09-18,37,True
U020,1587,4,2022-06-18,14,True
U070,786,4,2024-10-17,165,True
U001,1429,4,2024-04-30,11,True
U015,1813,3,2023-11-02,9,False
U048,970,5,2020-11-01,4,True
U014,896,4,2022-08-22,138,True
U007,4,5,2025-09-25,38,True
U008,21,4,2023-10-28,2,True
U011,1394,3,2016-08-27,61,False
U049,1897,4,2023-08-27,30,True
U077,573,5,2021-02-13,18,True
U019,1163,5,2025-07-17,52,True
U078,885,5,2024-06-04,65,True
U041,1914,4,2021-06-20,6,True
U054,581,5,2022-06-08,221,True
U068,815,3,2019-04-10,129,False
U093,1525,4,2021-03-08,10,True
U008,696,3,2025-03-11,77,False
U081,1705,4,2023-06-28,93,True
U002,1634,3,2025-06-29,112,True
U075,1362,3,2025-07-11,25,True
U040,439,5,2016-09-27,34,True
U074,439,5,2025-04-28,76,True
U023,1033,4,2023-06-09,14,True
U033,710,3,2018-07-12,58,False
U084,1823,3,2023-06-27,2,False
U085,749,3,2023-08-15,109,False
U004,1429,4,2024-03-20,43,True
